roaster,product_name,origin,roast_type,size,price,hearts,total_reviews,heart_percentage,decaf,blend,single_origin,available_ground,tags,has_reviews,price_numeric,size_oz,price_per_oz
Ladro Roasting,Diablo,Unspecified,Dark Roast,12oz,$20.98 ,446,574,77.7,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Available Ground, Featured",TRUE,20.98,12,1.75
Ladro Roasting,Diablo,Unspecified,Dark Roast,80oz,$92.13 ,446,574,77.7,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Available Ground, Featured",TRUE,92.13,80,1.15
Tony's Coffee,Cafe Carmelita,Unspecified,Medium Roast,12oz,$12.32 ,370,493,75.1,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Fair Trade, Organic, Available Ground",TRUE,12.32,12,1.03
Tony's Coffee,Cafe Carmelita,Unspecified,Medium Roast,24oz,$25.20 ,370,493,75.1,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Fair Trade, Organic, Available Ground",TRUE,25.2,24,1.05
Tony's Coffee,Cafe Carmelita,Unspecified,Medium Roast,80oz,$63.00 ,370,493,75.1,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Fair Trade, Organic, Available Ground",TRUE,63,80,0.79
Stamp Act Coffee,Milk Money - Seasonal Espresso,Unspecified,Light-Medium Roast,12oz,$15.30 ,362,470,77,FALSE,TRUE,FALSE,FALSE,"Light-Medium Roast, Blend, Espresso",TRUE,15.3,12,1.28
Stamp Act Coffee,Milk Money - Seasonal Espresso,Unspecified,Light-Medium Roast,32oz,$41.40 ,362,470,77,FALSE,TRUE,FALSE,FALSE,"Light-Medium Roast, Blend, Espresso",TRUE,41.4,32,1.29
Stamp Act Coffee,Milk Money - Seasonal Espresso,Unspecified,Light-Medium Roast,80oz,$99.45 ,362,470,77,FALSE,TRUE,FALSE,FALSE,"Light-Medium Roast, Blend, Espresso",TRUE,99.45,80,1.24
Blossom Coffee Roasters,Ethiopia - Ardi - Natural,Ethiopia,Light Roast,32oz,$40.50 ,315,384,82,FALSE,FALSE,TRUE,TRUE,"Light Roast, Ethiopia, Available Ground, Single Origin",TRUE,40.5,32,1.27
Blossom Coffee Roasters,Ethiopia - Ardi - Natural,Ethiopia,Light Roast,80oz,$94.50 ,315,384,82,FALSE,FALSE,TRUE,TRUE,"Light Roast, Ethiopia, Available Ground, Single Origin",TRUE,94.5,80,1.18
Camber Coffee,Big Joy,Guatemala,Medium Roast,12oz,$16.20 ,245,310,79,FALSE,FALSE,TRUE,TRUE,"Medium Roast, Guatemala, Espresso, Direct Trade, Available Ground, Single Origin",TRUE,16.2,12,1.35
Camber Coffee,Big Joy,Guatemala,Medium Roast,32oz,$31.50 ,245,310,79,FALSE,FALSE,TRUE,TRUE,"Medium Roast, Guatemala, Espresso, Direct Trade, Available Ground, Single Origin",TRUE,31.5,32,0.98
Camber Coffee,Big Joy,Guatemala,Medium Roast,80oz,$76.50 ,245,310,79,FALSE,FALSE,TRUE,TRUE,"Medium Roast, Guatemala, Espresso, Direct Trade, Available Ground, Single Origin",TRUE,76.5,80,0.96
Ladro Roasting,Fremont,Unspecified,Medium Roast,12oz,$20.98 ,214,303,70.6,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Available Ground, Featured",TRUE,20.98,12,1.75
Ladro Roasting,Fremont,Unspecified,Medium Roast,80oz,$92.13 ,214,303,70.6,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Available Ground, Featured",TRUE,92.13,80,1.15
Caffe Vita,Theo Blend,Unspecified,Medium-Dark Roast,12oz,$16.20 ,154,215,71.6,FALSE,TRUE,FALSE,TRUE,"Medium-Dark Roast, Blend, Organic, Direct Trade, Available Ground, Kosher",TRUE,16.2,12,1.35
Caffe Vita,Theo Blend,Unspecified,Medium-Dark Roast,80oz,$85.50 ,154,215,71.6,FALSE,TRUE,FALSE,TRUE,"Medium-Dark Roast, Blend, Organic, Direct Trade, Available Ground, Kosher",TRUE,85.5,80,1.07
Olympia Coffee Roasting Co.,Big Truck,Unspecified,Medium-Dark Roast,12oz,$16.65 ,148,200,74,FALSE,TRUE,FALSE,FALSE,"Medium-Dark Roast, Blend, Espresso, Direct Trade, Fair Trade",TRUE,16.65,12,1.39
Olympia Coffee Roasting Co.,Big Truck,Unspecified,Medium-Dark Roast,32oz,$42.12 ,148,200,74,FALSE,TRUE,FALSE,FALSE,"Medium-Dark Roast, Blend, Espresso, Direct Trade, Fair Trade",TRUE,42.12,32,1.32
Olympia Coffee Roasting Co.,Big Truck,Unspecified,Medium-Dark Roast,80oz,$99.54 ,148,200,74,FALSE,TRUE,FALSE,FALSE,"Medium-Dark Roast, Blend, Espresso, Direct Trade, Fair Trade",TRUE,99.54,80,1.24
Caffe Vita,Caffe Luna,Unspecified,Dark Roast,12oz,$16.20 ,136,172,79.1,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Direct Trade, Featured, Available Ground",TRUE,16.2,12,1.35
Caffe Vita,Caffe Luna,Unspecified,Dark Roast,80oz,$85.50 ,136,172,79.1,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Direct Trade, Featured, Available Ground",TRUE,85.5,80,1.07
Blossom Coffee Roasters,Dark Side of the Moon,Unspecified,Dark Roast,12oz,$15.75 ,126,162,77.8,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Available Ground",TRUE,15.75,12,1.31
Blossom Coffee Roasters,Dark Side of the Moon,Unspecified,Dark Roast,32oz,$35.10 ,126,162,77.8,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Available Ground",TRUE,35.1,32,1.1
Blossom Coffee Roasters,Dark Side of the Moon,Unspecified,Dark Roast,80oz,$79.65 ,126,162,77.8,FALSE,TRUE,FALSE,TRUE,"Dark  Roast, Blend, Available Ground",TRUE,79.65,80,1
Camber Coffee,Skyline Espresso,Unspecified,Medium Roast,12oz,$16.20 ,121,154,78.6,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Espresso, Direct Trade, Available Ground",TRUE,16.2,12,1.35
Camber Coffee,Skyline Espresso,Unspecified,Medium Roast,32oz,$31.50 ,121,154,78.6,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Espresso, Direct Trade, Available Ground",TRUE,31.5,32,0.98
Camber Coffee,Skyline Espresso,Unspecified,Medium Roast,80oz,$76.50 ,121,154,78.6,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Espresso, Direct Trade, Available Ground",TRUE,76.5,80,0.96
Ladro Roasting,Queen Anne,Unspecified,Light Roast,12oz,$20.98 ,120,182,65.9,FALSE,TRUE,FALSE,TRUE,"Light Roast, Blend, Available Ground, Featured",TRUE,20.98,12,1.75
Ladro Roasting,Queen Anne,Unspecified,Light Roast,80oz,$92.13 ,120,182,65.9,FALSE,TRUE,FALSE,TRUE,"Light Roast, Blend, Available Ground, Featured",TRUE,92.13,80,1.15
Blossom Coffee Roasters,Nectar,Unspecified,Light-Medium Roast,12oz,$16.65 ,108,146,74,FALSE,TRUE,FALSE,TRUE,"Light-Medium Roast, Blend, Espresso, Organic, Available Ground",TRUE,16.65,12,1.39
Blossom Coffee Roasters,Nectar,Unspecified,Light-Medium Roast,32oz,$39.15 ,108,146,74,FALSE,TRUE,FALSE,TRUE,"Light-Medium Roast, Blend, Espresso, Organic, Available Ground",TRUE,39.15,32,1.22
Blossom Coffee Roasters,Nectar,Unspecified,Light-Medium Roast,80oz,$81.00 ,108,146,74,FALSE,TRUE,FALSE,TRUE,"Light-Medium Roast, Blend, Espresso, Organic, Available Ground",TRUE,81,80,1.01
Seven Coffee Roasters,Guatemala Trapichitos,Guatemala,Light-Medium Roast,12oz,$15.27 ,106,147,72.1,FALSE,FALSE,TRUE,TRUE,"Light-Medium Roast, Guatemala, Organic, Available Ground, Single Origin",TRUE,15.27,12,1.27
Caffe Vita,Caffe Del Sol,Unspecified,Medium Roast,12oz,$15.30 ,103,134,76.9,FALSE,TRUE,FALSE,TRUE,"Medium Roast, Blend, Espresso, Direct Trade, Available Ground",TRUE,15.3,12,1.28
